rango,estudios,partido,departamento,apoyo
anciano,pregrado,PPC,TRUJILLO,0
adulto,secundaria,PERU_POSIBLE,JUNIN,1
joven,posgrado,FREPAP,LORETO,1
joven,notiene,PARTIDO_MORADO,LIMA,1
mayor,secundaria,ACCION_POPULAR,HUANUCO,1
mayor,notiene,PERU_POSIBLE,LIMA,0
mayor,primaria,FRENTE_AMPLIO,LIMA,1
anciano,notiene,FRENTE_AMPLIO,LIMA,1
mayor,notiene,FRENTE_AMPLIO,JUNIN,1
anciano,primaria,FRENTE_AMPLIO,LIMA,1
joven,secundaria,FUERZA_POPULAR,LORETO,1
adulto,secundaria,APRA,CUZCO,1
joven,secundaria,PARTIDO_MORADO,LIMA,1
joven,pregrado,FUERZA_POPULAR,JUNIN,1
joven,posgrado,PPC,HUANUCO,1
joven,posgrado,FUERZA_POPULAR,AREQUIPA,1
joven,secundaria,PERU_POSIBLE,JUNIN,0
joven,posgrado,FRENTE_AMPLIO,TRUJILLO,0
joven,posgrado,FREPAP,AREQUIPA,1
joven,secundaria,FREPAP,TRUJILLO,1
mayor,posgrado,ACCION_POPULAR,CAJAMARCA,1
joven,secundaria,ACCION_POPULAR,HUANUCO,1
joven,primaria,PARTIDO_MORADO,TRUJILLO,1
adulto,pregrado,PPC,CAJAMARCA,1
mayor,posgrado,APRA,LIMA,1
anciano,primaria,PARTIDO_MORADO,LIMA,0
adulto,primaria,APRA,LIMA,1
joven,secundaria,APRA,LIMA,0
anciano,secundaria,FUERZA_POPULAR,HUANUCO,1
mayor,notiene,FREPAP,LORETO,1
joven,posgrado,PPC,LIMA,0
anciano,secundaria,ACCION_POPULAR,LORETO,1
joven,primaria,ACCION_POPULAR,LIMA,0
anciano,posgrado,FREPAP,JUNIN,1
joven,notiene,ACCION_POPULAR,HUANUCO,1
anciano,notiene,APRA,AREQUIPA,1
joven,posgrado,ACCION_POPULAR,LIMA,1
joven,primaria,PARTIDO_MORADO,LORETO,1
mayor,notiene,PARTIDO_MORADO,CUZCO,1
adulto,primaria,CONTIGO_PERU,LIMA,0
joven,pregrado,PERU_POSIBLE,CAJAMARCA,1
joven,notiene,PPC,TRUJILLO,1
joven,secundaria,FUERZA_POPULAR,CUZCO,0
joven,pregrado,PERU_POSIBLE,HUANUCO,1
joven,primaria,PARTIDO_MORADO,LIMA,0
mayor,secundaria,PPC,LIMA,1
adulto,secundaria,FREPAP,LIMA,1
adulto,posgrado,FRENTE_AMPLIO,CAJAMARCA,0
mayor,posgrado,ACCION_POPULAR,CUZCO,0
mayor,pregrado,FREPAP,AREQUIPA,1
joven,primaria,ACCION_POPULAR,HUANUCO,1
mayor,posgrado,FRENTE_AMPLIO,LORETO,1
joven,notiene,FREPAP,CAJAMARCA,1
anciano,primaria,FUERZA_POPULAR,TRUJILLO,1
joven,posgrado,FRENTE_AMPLIO,LIMA,1
anciano,pregrado,FRENTE_AMPLIO,LIMA,1
joven,pregrado,PPC,LORETO,1
anciano,primaria,ACCION_POPULAR,AREQUIPA,1
joven,pregrado,PPC,CUZCO,1
joven,posgrado,CONTIGO_PERU,AREQUIPA,1
mayor,pregrado,FUERZA_POPULAR,LIMA,1
adulto,notiene,ACCION_POPULAR,TRUJILLO,1
mayor,notiene,FUERZA_POPULAR,JUNIN,1
joven,posgrado,CONTIGO_PERU,LIMA,0
mayor,posgrado,FRENTE_AMPLIO,LIMA,1
anciano,secundaria,FREPAP,LIMA,1
joven,posgrado,PERU_POSIBLE,AREQUIPA,1
joven,secundaria,FRENTE_AMPLIO,LORETO,1
joven,pregrado,ACCION_POPULAR,LIMA,0
mayor,pregrado,PERU_POSIBLE,TRUJILLO,1
joven,posgrado,PERU_POSIBLE,HUANUCO,1
adulto,notiene,FREPAP,LIMA,1
mayor,posgrado,CONTIGO_PERU,CUZCO,0
joven,notiene,ACCION_POPULAR,LIMA,1
joven,pregrado,ACCION_POPULAR,JUNIN,0
joven,secundaria,FRENTE_AMPLIO,LIMA,0
joven,notiene,PERU_POSIBLE,LIMA,0
joven,pregrado,ACCION_POPULAR,AREQUIPA,1
anciano,primaria,PERU_POSIBLE,TRUJILLO,1
mayor,posgrado,PERU_POSIBLE,JUNIN,1
adulto,notiene,PERU_POSIBLE,CUZCO,1
joven,pregrado,PERU_POSIBLE,LIMA,1
adulto,secundaria,PPC,AREQUIPA,0
joven,notiene,APRA,LORETO,0
joven,pregrado,PERU_POSIBLE,LIMA,1
joven,notiene,PPC,TRUJILLO,1
anciano,posgrado,ACCION_POPULAR,LIMA,1
joven,primaria,CONTIGO_PERU,CUZCO,1
mayor,notiene,FREPAP,JUNIN,1
mayor,posgrado,APRA,LIMA,1
mayor,posgrado,PARTIDO_MORADO,AREQUIPA,1
mayor,primaria,PARTIDO_MORADO,TRUJILLO,1
joven,primaria,PERU_POSIBLE,LIMA,1
anciano,primaria,FRENTE_AMPLIO,CUZCO,1
joven,pregrado,PPC,JUNIN,0
joven,pregrado,PARTIDO_MORADO,LORETO,0
mayor,primaria,PARTIDO_MORADO,LIMA,1
joven,notiene,PERU_POSIBLE,LIMA,1
adulto,pregrado,APRA,AREQUIPA,0
mayor,secundaria,FREPAP,AREQUIPA,1
mayor,notiene,PPC,JUNIN,0
joven,primaria,FRENTE_AMPLIO,AREQUIPA,1
joven,pregrado,FREPAP,AREQUIPA,1
joven,notiene,FUERZA_POPULAR,LIMA,1
joven,primaria,ACCION_POPULAR,HUANUCO,0
adulto,pregrado,PERU_POSIBLE,LORETO,0
joven,posgrado,FRENTE_AMPLIO,AREQUIPA,1
joven,secundaria,PERU_POSIBLE,HUANUCO,1
anciano,pregrado,PERU_POSIBLE,TRUJILLO,1
joven,notiene,CONTIGO_PERU,LIMA,1
joven,pregrado,APRA,LIMA,1
mayor,posgrado,FREPAP,AREQUIPA,1
mayor,secundaria,FREPAP,CAJAMARCA,1
joven,posgrado,PARTIDO_MORADO,AREQUIPA,1
joven,posgrado,PERU_POSIBLE,AREQUIPA,1
anciano,pregrado,CONTIGO_PERU,AREQUIPA,0
mayor,notiene,ACCION_POPULAR,LORETO,0
adulto,pregrado,APRA,LORETO,0
mayor,notiene,FUERZA_POPULAR,HUANUCO,1
anciano,primaria,FRENTE_AMPLIO,LIMA,0
adulto,primaria,FUERZA_POPULAR,CAJAMARCA,1
joven,primaria,PERU_POSIBLE,LIMA,0
joven,posgrado,FRENTE_AMPLIO,CUZCO,1
mayor,notiene,APRA,AREQUIPA,1
adulto,posgrado,FUERZA_POPULAR,TRUJILLO,0
anciano,notiene,APRA,CAJAMARCA,1
anciano,posgrado,PERU_POSIBLE,HUANUCO,1
adulto,posgrado,PERU_POSIBLE,CAJAMARCA,1
joven,notiene,FRENTE_AMPLIO,TRUJILLO,1
mayor,notiene,FRENTE_AMPLIO,CAJAMARCA,1
joven,primaria,FREPAP,HUANUCO,0
joven,posgrado,APRA,LORETO,1
joven,primaria,ACCION_POPULAR,HUANUCO,1
mayor,secundaria,PARTIDO_MORADO,LIMA,1
joven,notiene,PPC,LIMA,1
mayor,secundaria,PPC,LIMA,1
adulto,pregrado,PERU_POSIBLE,AREQUIPA,1
mayor,primaria,PPC,TRUJILLO,1
mayor,notiene,APRA,LIMA,1
joven,secundaria,PERU_POSIBLE,AREQUIPA,0
joven,pregrado,PERU_POSIBLE,LIMA,1
joven,posgrado,ACCION_POPULAR,LIMA,1
joven,posgrado,APRA,LIMA,0
joven,secundaria,PARTIDO_MORADO,LIMA,1
adulto,secundaria,APRA,JUNIN,1
mayor,primaria,FRENTE_AMPLIO,LORETO,1
joven,primaria,APRA,CAJAMARCA,1
anciano,secundaria,FRENTE_AMPLIO,LIMA,1
joven,secundaria,CONTIGO_PERU,LIMA,1
adulto,secundaria,PARTIDO_MORADO,AREQUIPA,0
joven,notiene,FREPAP,LIMA,1
joven,secundaria,PARTIDO_MORADO,JUNIN,1
mayor,posgrado,FREPAP,LIMA,1
joven,secundaria,APRA,HUANUCO,1
mayor,secundaria,PERU_POSIBLE,TRUJILLO,1
anciano,primaria,PARTIDO_MORADO,AREQUIPA,1
anciano,primaria,PARTIDO_MORADO,LIMA,0
adulto,notiene,CONTIGO_PERU,LIMA,0
joven,pregrado,FREPAP,LIMA,1
anciano,secundaria,PPC,TRUJILLO,0
joven,posgrado,PARTIDO_MORADO,CUZCO,1
joven,primaria,ACCION_POPULAR,LIMA,1
joven,posgrado,APRA,JUNIN,0
joven,notiene,PPC,TRUJILLO,1
joven,secundaria,FUERZA_POPULAR,LIMA,0
anciano,notiene,PPC,AREQUIPA,1
anciano,pregrado,PARTIDO_MORADO,LIMA,1
joven,notiene,FUERZA_POPULAR,LORETO,1
joven,primaria,PERU_POSIBLE,JUNIN,1
joven,posgrado,APRA,AREQUIPA,1
mayor,pregrado,CONTIGO_PERU,CAJAMARCA,1
anciano,posgrado,FUERZA_POPULAR,LIMA,1
mayor,secundaria,FRENTE_AMPLIO,LIMA,1
joven,pregrado,ACCION_POPULAR,HUANUCO,0
joven,pregrado,PPC,AREQUIPA,1
adulto,posgrado,FRENTE_AMPLIO,LIMA,1
anciano,primaria,APRA,LIMA,1
joven,notiene,PPC,LORETO,0
joven,posgrado,FRENTE_AMPLIO,LORETO,1
adulto,posgrado,FUERZA_POPULAR,TRUJILLO,1
anciano,primaria,ACCION_POPULAR,LIMA,0
adulto,pregrado,FREPAP,LIMA,1
joven,pregrado,FREPAP,LIMA,1
anciano,secundaria,PARTIDO_MORADO,HUANUCO,1
joven,primaria,ACCION_POPULAR,HUANUCO,1
joven,posgrado,ACCION_POPULAR,AREQUIPA,1
joven,notiene,FUERZA_POPULAR,JUNIN,1
adulto,pregrado,PPC,LIMA,1
joven,posgrado,FREPAP,HUANUCO,1
joven,primaria,FRENTE_AMPLIO,HUANUCO,0
anciano,primaria,PPC,CAJAMARCA,1
adulto,posgrado,PARTIDO_MORADO,LIMA,0
joven,primaria,APRA,HUANUCO,0
adulto,posgrado,FRENTE_AMPLIO,HUANUCO,1
mayor,posgrado,FREPAP,JUNIN,1
joven,pregrado,FRENTE_AMPLIO,TRUJILLO,1
anciano,primaria,PARTIDO_MORADO,CAJAMARCA,1
joven,secundaria,PARTIDO_MORADO,LIMA,1
anciano,primaria,PERU_POSIBLE,LIMA,1
adulto,notiene,FUERZA_POPULAR,LORETO,1
joven,pregrado,PARTIDO_MORADO,LORETO,1
adulto,primaria,PERU_POSIBLE,CUZCO,1
mayor,posgrado,CONTIGO_PERU,LIMA,1
adulto,pregrado,CONTIGO_PERU,AREQUIPA,1
joven,pregrado,PERU_POSIBLE,CAJAMARCA,1
mayor,notiene,PARTIDO_MORADO,TRUJILLO,1
anciano,notiene,CONTIGO_PERU,CUZCO,1
adulto,posgrado,FREPAP,CUZCO,0
mayor,notiene,FUERZA_POPULAR,LORETO,0
anciano,notiene,ACCION_POPULAR,TRUJILLO,1
anciano,secundaria,PERU_POSIBLE,HUANUCO,1
anciano,posgrado,FREPAP,CUZCO,1
adulto,posgrado,CONTIGO_PERU,JUNIN,0
adulto,notiene,FREPAP,CUZCO,1
adulto,primaria,APRA,LIMA,1
joven,secundaria,PARTIDO_MORADO,JUNIN,0
joven,pregrado,FUERZA_POPULAR,JUNIN,1
anciano,notiene,CONTIGO_PERU,LIMA,1
mayor,posgrado,FUERZA_POPULAR,CAJAMARCA,1
anciano,primaria,FRENTE_AMPLIO,LIMA,1
adulto,primaria,FUERZA_POPULAR,CAJAMARCA,0
joven,secundaria,ACCION_POPULAR,TRUJILLO,0
adulto,posgrado,FREPAP,AREQUIPA,1
joven,primaria,FRENTE_AMPLIO,LIMA,0
mayor,notiene,FREPAP,AREQUIPA,0
anciano,secundaria,FRENTE_AMPLIO,LIMA,0
mayor,posgrado,FUERZA_POPULAR,LORETO,0
adulto,secundaria,FUERZA_POPULAR,CUZCO,0
joven,posgrado,APRA,CUZCO,0
joven,pregrado,PERU_POSIBLE,TRUJILLO,1
joven,secundaria,CONTIGO_PERU,LIMA,0
anciano,secundaria,FUERZA_POPULAR,LIMA,1
joven,notiene,ACCION_POPULAR,LIMA,1
joven,secundaria,FRENTE_AMPLIO,LIMA,0
adulto,posgrado,FRENTE_AMPLIO,HUANUCO,1
anciano,primaria,ACCION_POPULAR,LIMA,1
joven,secundaria,PARTIDO_MORADO,LIMA,1
anciano,notiene,APRA,CAJAMARCA,0
joven,primaria,PERU_POSIBLE,TRUJILLO,1
joven,posgrado,FRENTE_AMPLIO,LORETO,1
anciano,secundaria,PPC,LIMA,1
adulto,secundaria,PARTIDO_MORADO,AREQUIPA,0
joven,notiene,FREPAP,LIMA,1
adulto,secundaria,CONTIGO_PERU,CUZCO,1
anciano,posgrado,CONTIGO_PERU,LIMA,0
mayor,pregrado,PERU_POSIBLE,CAJAMARCA,1
joven,secundaria,PERU_POSIBLE,LIMA,1
mayor,primaria,PPC,CAJAMARCA,1
adulto,primaria,PPC,JUNIN,1
adulto,pregrado,FUERZA_POPULAR,HUANUCO,1
joven,secundaria,PERU_POSIBLE,CAJAMARCA,1
joven,primaria,PPC,LIMA,0
anciano,pregrado,ACCION_POPULAR,TRUJILLO,1
mayor,secundaria,PERU_POSIBLE,LIMA,1
joven,notiene,FUERZA_POPULAR,LIMA,1
joven,notiene,FRENTE_AMPLIO,HUANUCO,1
adulto,pregrado,FRENTE_AMPLIO,LIMA,1
adulto,pregrado,FUERZA_POPULAR,CAJAMARCA,1
joven,primaria,PARTIDO_MORADO,TRUJILLO,1
anciano,secundaria,FREPAP,LIMA,0
joven,primaria,PARTIDO_MORADO,CAJAMARCA,0
anciano,secundaria,PPC,CUZCO,1
mayor,notiene,FREPAP,JUNIN,1
joven,secundaria,APRA,HUANUCO,1
anciano,primaria,CONTIGO_PERU,CUZCO,0
mayor,notiene,PERU_POSIBLE,AREQUIPA,1
joven,pregrado,PPC,AREQUIPA,0
adulto,notiene,FREPAP,LIMA,1
mayor,notiene,PERU_POSIBLE,LIMA,1
joven,primaria,PPC,LIMA,1
joven,pregrado,ACCION_POPULAR,LIMA,1
joven,posgrado,FRENTE_AMPLIO,AREQUIPA,1
mayor,pregrado,CONTIGO_PERU,CAJAMARCA,0
mayor,posgrado,PERU_POSIBLE,HUANUCO,0
joven,secundaria,ACCION_POPULAR,AREQUIPA,0
mayor,secundaria,FUERZA_POPULAR,AREQUIPA,0
anciano,primaria,FRENTE_AMPLIO,HUANUCO,1
mayor,primaria,FREPAP,HUANUCO,0
joven,notiene,FUERZA_POPULAR,AREQUIPA,0
adulto,primaria,FUERZA_POPULAR,CAJAMARCA,0
joven,notiene,CONTIGO_PERU,CUZCO,1
adulto,pregrado,APRA,AREQUIPA,1
anciano,primaria,FREPAP,LIMA,1
mayor,notiene,CONTIGO_PERU,LIMA,0
adulto,secundaria,PPC,JUNIN,1
adulto,pregrado,PERU_POSIBLE,LIMA,0
anciano,notiene,FREPAP,LORETO,1
joven,primaria,ACCION_POPULAR,LIMA,0
mayor,pregrado,FUERZA_POPULAR,HUANUCO,1
anciano,primaria,ACCION_POPULAR,HUANUCO,1
joven,posgrado,CONTIGO_PERU,LIMA,1
anciano,posgrado,PPC,AREQUIPA,1
joven,posgrado,ACCION_POPULAR,LIMA,1
anciano,pregrado,FUERZA_POPULAR,CAJAMARCA,0
joven,primaria,FUERZA_POPULAR,HUANUCO,1
mayor,secundaria,PERU_POSIBLE,LIMA,1
joven,primaria,PERU_POSIBLE,CAJAMARCA,0
adulto,primaria,PERU_POSIBLE,LIMA,1
joven,notiene,CONTIGO_PERU,TRUJILLO,1
mayor,secundaria,PPC,LIMA,1
adulto,secundaria,PARTIDO_MORADO,CUZCO,1
joven,secundaria,FUERZA_POPULAR,JUNIN,0
mayor,pregrado,ACCION_POPULAR,TRUJILLO,1
mayor,primaria,PERU_POSIBLE,HUANUCO,1
joven,pregrado,CONTIGO_PERU,JUNIN,1
mayor,secundaria,PERU_POSIBLE,HUANUCO,0
joven,notiene,CONTIGO_PERU,LIMA,1
mayor,secundaria,PPC,CAJAMARCA,1
joven,notiene,FRENTE_AMPLIO,AREQUIPA,1
mayor,pregrado,CONTIGO_PERU,CUZCO,1
adulto,secundaria,FREPAP,HUANUCO,1
joven,secundaria,PERU_POSIBLE,LIMA,1
adulto,primaria,PERU_POSIBLE,HUANUCO,0
adulto,primaria,FREPAP,LIMA,0
mayor,primaria,FREPAP,TRUJILLO,1
mayor,pregrado,FUERZA_POPULAR,CUZCO,1
anciano,pregrado,PPC,HUANUCO,1
joven,pregrado,FREPAP,TRUJILLO,0
adulto,posgrado,APRA,HUANUCO,0
mayor,posgrado,PARTIDO_MORADO,JUNIN,1
mayor,secundaria,CONTIGO_PERU,JUNIN,1
adulto,pregrado,FREPAP,HUANUCO,1
anciano,posgrado,PPC,AREQUIPA,1
mayor,secundaria,PERU_POSIBLE,CUZCO,1
adulto,secundaria,FUERZA_POPULAR,LIMA,1
anciano,notiene,FUERZA_POPULAR,LIMA,1
anciano,pregrado,FUERZA_POPULAR,JUNIN,1
joven,pregrado,FUERZA_POPULAR,LIMA,1
anciano,secundaria,PPC,LIMA,1
joven,notiene,FREPAP,AREQUIPA,1
joven,primaria,ACCION_POPULAR,LIMA,1
adulto,notiene,ACCION_POPULAR,LORETO,1
adulto,secundaria,PARTIDO_MORADO,LIMA,1
joven,secundaria,ACCION_POPULAR,AREQUIPA,1
joven,secundaria,FUERZA_POPULAR,CUZCO,1
joven,primaria,FREPAP,JUNIN,1
anciano,notiene,APRA,HUANUCO,1
joven,primaria,APRA,CAJAMARCA,1
joven,posgrado,FUERZA_POPULAR,JUNIN,1
joven,posgrado,PPC,LIMA,1
joven,primaria,APRA,LIMA,0
joven,pregrado,FREPAP,JUNIN,1
mayor,primaria,FRENTE_AMPLIO,LORETO,1
joven,notiene,FUERZA_POPULAR,CUZCO,1
joven,pregrado,PERU_POSIBLE,LIMA,1
mayor,posgrado,FREPAP,HUANUCO,0
joven,posgrado,PERU_POSIBLE,CUZCO,1
adulto,secundaria,PARTIDO_MORADO,CAJAMARCA,1
joven,notiene,APRA,CUZCO,1
anciano,pregrado,CONTIGO_PERU,LORETO,0
mayor,pregrado,PARTIDO_MORADO,LIMA,1
adulto,posgrado,FREPAP,LORETO,1
anciano,notiene,CONTIGO_PERU,LIMA,1
adulto,secundaria,FRENTE_AMPLIO,HUANUCO,1
mayor,primaria,ACCION_POPULAR,CUZCO,1
joven,pregrado,PPC,JUNIN,1
anciano,secundaria,FUERZA_POPULAR,LIMA,1
joven,posgrado,PARTIDO_MORADO,LIMA,0
adulto,pregrado,FUERZA_POPULAR,LIMA,1
joven,pregrado,PARTIDO_MORADO,LIMA,1
mayor,pregrado,CONTIGO_PERU,CUZCO,1
adulto,notiene,APRA,HUANUCO,0
adulto,notiene,FUERZA_POPULAR,LIMA,1
adulto,secundaria,FREPAP,JUNIN,1
adulto,notiene,APRA,JUNIN,1
mayor,secundaria,PPC,CAJAMARCA,1
joven,pregrado,FUERZA_POPULAR,JUNIN,1
joven,posgrado,PPC,LIMA,1
joven,pregrado,CONTIGO_PERU,JUNIN,1
mayor,secundaria,PPC,LIMA,1
mayor,notiene,CONTIGO_PERU,HUANUCO,0
adulto,primaria,FREPAP,LORETO,1
joven,notiene,FRENTE_AMPLIO,HUANUCO,1
mayor,primaria,ACCION_POPULAR,CAJAMARCA,0
joven,posgrado,CONTIGO_PERU,TRUJILLO,1
anciano,primaria,PERU_POSIBLE,LIMA,1
adulto,notiene,FREPAP,AREQUIPA,1
mayor,primaria,ACCION_POPULAR,JUNIN,1
adulto,primaria,FREPAP,TRUJILLO,1
mayor,pregrado,CONTIGO_PERU,LORETO,0
joven,pregrado,FUERZA_POPULAR,LIMA,0
anciano,pregrado,FREPAP,LORETO,1
joven,primaria,CONTIGO_PERU,CUZCO,1
mayor,posgrado,PPC,LIMA,1
adulto,pregrado,PARTIDO_MORADO,LORETO,1
joven,primaria,FREPAP,CUZCO,1
mayor,primaria,FREPAP,AREQUIPA,1
mayor,primaria,PARTIDO_MORADO,JUNIN,1
adulto,posgrado,PERU_POSIBLE,LIMA,1
mayor,posgrado,PPC,HUANUCO,0
mayor,posgrado,CONTIGO_PERU,TRUJILLO,1
anciano,secundaria,FRENTE_AMPLIO,CUZCO,1
anciano,notiene,FUERZA_POPULAR,LORETO,1
joven,pregrado,PPC,CUZCO,1
joven,primaria,APRA,JUNIN,1
joven,pregrado,PARTIDO_MORADO,TRUJILLO,0
anciano,secundaria,PPC,LIMA,1
anciano,posgrado,CONTIGO_PERU,JUNIN,1
mayor,secundaria,APRA,JUNIN,1
mayor,notiene,APRA,CAJAMARCA,1
joven,secundaria,APRA,AREQUIPA,0
anciano,pregrado,PARTIDO_MORADO,CAJAMARCA,1
anciano,posgrado,CONTIGO_PERU,HUANUCO,1
adulto,pregrado,FRENTE_AMPLIO,CUZCO,1
joven,pregrado,FREPAP,HUANUCO,1
mayor,pregrado,PERU_POSIBLE,LIMA,1
mayor,primaria,PERU_POSIBLE,TRUJILLO,1
joven,pregrado,APRA,LIMA,0
mayor,pregrado,ACCION_POPULAR,JUNIN,1
joven,primaria,FUERZA_POPULAR,LORETO,1
anciano,secundaria,PERU_POSIBLE,TRUJILLO,0
adulto,secundaria,FREPAP,HUANUCO,1
adulto,notiene,APRA,CUZCO,1
anciano,secundaria,FRENTE_AMPLIO,JUNIN,1
joven,secundaria,FRENTE_AMPLIO,AREQUIPA,1
mayor,posgrado,CONTIGO_PERU,HUANUCO,1
joven,posgrado,PPC,LIMA,1
anciano,secundaria,PPC,LIMA,1
mayor,notiene,PPC,JUNIN,0
anciano,notiene,FREPAP,LIMA,1
joven,posgrado,PPC,LIMA,1
anciano,pregrado,PPC,HUANUCO,1
joven,posgrado,FREPAP,CAJAMARCA,0
joven,secundaria,FREPAP,LIMA,1
mayor,posgrado,ACCION_POPULAR,HUANUCO,0
adulto,notiene,CONTIGO_PERU,LORETO,1
anciano,secundaria,FUERZA_POPULAR,LORETO,1
joven,posgrado,PARTIDO_MORADO,LIMA,0
anciano,secundaria,FREPAP,CUZCO,1
joven,secundaria,CONTIGO_PERU,TRUJILLO,1
joven,pregrado,PERU_POSIBLE,LORETO,1
adulto,posgrado,ACCION_POPULAR,LIMA,1
adulto,secundaria,APRA,AREQUIPA,1
adulto,primaria,PPC,JUNIN,1
anciano,secundaria,FRENTE_AMPLIO,TRUJILLO,1
adulto,secundaria,PPC,JUNIN,1
adulto,notiene,FUERZA_POPULAR,JUNIN,1
joven,pregrado,FUERZA_POPULAR,TRUJILLO,1
joven,pregrado,FRENTE_AMPLIO,LORETO,0
anciano,pregrado,FUERZA_POPULAR,CAJAMARCA,1
joven,notiene,FRENTE_AMPLIO,LIMA,1
adulto,notiene,FREPAP,LIMA,1
adulto,secundaria,APRA,LIMA,1
anciano,primaria,APRA,CUZCO,1
mayor,secundaria,FUERZA_POPULAR,AREQUIPA,1
mayor,posgrado,PPC,JUNIN,0
joven,primaria,CONTIGO_PERU,CUZCO,1
anciano,posgrado,CONTIGO_PERU,CAJAMARCA,1
adulto,pregrado,PARTIDO_MORADO,LORETO,0
mayor,secundaria,FUERZA_POPULAR,LIMA,0
mayor,secundaria,FREPAP,LIMA,1
joven,posgrado,CONTIGO_PERU,CUZCO,1
mayor,posgrado,FUERZA_POPULAR,JUNIN,1
adulto,pregrado,CONTIGO_PERU,CUZCO,1
adulto,notiene,PERU_POSIBLE,LORETO,1
anciano,posgrado,CONTIGO_PERU,CAJAMARCA,1
adulto,secundaria,FRENTE_AMPLIO,LIMA,1
joven,posgrado,PARTIDO_MORADO,HUANUCO,1
adulto,notiene,ACCION_POPULAR,LIMA,1
joven,pregrado,PERU_POSIBLE,LIMA,1
adulto,primaria,FREPAP,AREQUIPA,1
mayor,primaria,FUERZA_POPULAR,TRUJILLO,0
joven,primaria,PERU_POSIBLE,LORETO,1
anciano,secundaria,FRENTE_AMPLIO,TRUJILLO,1
joven,secundaria,APRA,CUZCO,1
joven,primaria,FREPAP,JUNIN,0
joven,posgrado,CONTIGO_PERU,HUANUCO,1
joven,posgrado,APRA,LIMA,0
mayor,primaria,ACCION_POPULAR,LORETO,1
joven,secundaria,PARTIDO_MORADO,LORETO,1
anciano,posgrado,PPC,TRUJILLO,1
anciano,notiene,PPC,JUNIN,1
